,german,english
0,ich,I
1,sie,she
2,das,that
3,ist,is
4,du,you
5,nicht,not
6,die,the
7,es,it
8,und,and
9,der,the
10,wir,weather
11,was,What
12,er,he
13,ein,one
14,in,in
15,ja,Yes
16,mir,me
17,mit,With
18,wie,how
19,auf,on
20,dass,that
21,aber,but
22,eine,one
23,so,so
24,hat,has
25,hier,here
26,haben,to have
27,fÃ¼r,for
28,sind,are
29,war,was
30,von,from
31,wenn,if
32,dich,you
33,ihr,her
34,nein,no
35,habe,have
36,an,on
37,bin,am
38,noch,still
39,nur,only
40,da,there
41,dir,to you
42,sich,himself
43,einen,a
44,uns,US
45,hast,have
46,dem,to the
47,kann,can
48,gut,Well
49,auch,also
50,schon,beautiful
51,als,as
52,sein,being
53,jetzt,now
54,ihn,him
55,dann,then
56,aus,out
57,meine,my
58,um,around
59,im,in the
60,wird,will
61,mein,my
62,bist,are you
63,doch,indeed
64,alles,everything
65,weiÃŸ,white
66,keine,none
67,oder,or
68,nach,after
69,s,s
70,nichts,Nothing
71,man,one
72,muss,got to
73,werden,will
74,will,want
75,ihnen,you
76,geht,goes
77,wo,Where
78,etwas,something
79,oh,Oh
80,mehr,more
81,bei,at
82,also,so
83,bitte,You're welcome
84,immer,always
85,hab,have
86,warum,why
87,vor,before
88,los,Come on
89,kÃ¶nnen,be
90,wieder,again
91,sagen,to say
92,machen,do
93,danke,thank you
94,sehr,very
95,alle,Everyone
96,denn,then
97,mann,husband
98,tun,to do
99,ihm,him
100,zum,to the
101,gehen,walk
102,sehen,see
103,vielleicht,perhaps
104,einem,a
105,wer,who
106,ihre,their
107,diese,this
108,euch,you
109,einer,a
110,komm,come
111,Ã¼ber,Over
112,gibt,are
113,okay,OK
114,wissen,to know
115,deine,your
116,mÃ¼ssen,have to
117,soll,target
118,werde,become
119,nie,never
120,hey,hey
121,kein,no
122,viel,a lot
123,weg,path
124,wÃ¼rde,saddle
125,tut,does
126,am,at the
127,des,of
128,einfach,simple
129,leben,Life
130,hatte,had
131,zeit,time
132,weil,because
133,willst,want
