,italian,english
0,e,And
1,non,not
2,che,that
3,di,from
4,la,there
5,il,the
6,un,a
7,a,to
8,per,for
9,Ã¨,TO
10,in,in
11,una,a
12,mi,me
13,sono,I am
14,ho,I have
15,l',L'
16,si,Yes
17,ha,has
18,ma,but
19,lo,the
20,cosa,what
21,con,with
22,no,no
23,le,the
24,ti,you
25,se,self
26,da,from
27,i,the
28,come,as
29,io,I
30,ci,there
31,hai,you have
32,questo,this
33,bene,well
34,qui,here
35,sei,six
36,del,of the
37,tu,you
38,solo,alone
39,mio,my
40,al,to the
41,me,myself
42,tutto,everything
43,c',there
44,te,you
45,era,was
46,della,from the
47,mia,my
48,fatto,done
49,fare,do
50,essere,to be
51,so,so
52,quando,when
53,sÃ¬,yes
54,ora,Now
55,lei,she
56,gli,the
57,ne,neither
58,oh,Oh
59,questa,this
60,detto,said
61,ok,ok
62,va,it goes
63,perche,because
64,quello,that
65,mai,never
66,alla,at the
67,o,or
68,anche,also
69,stato,state
70,abbiamo,we have
71,tutti,all
72,dei,of the
73,grazie,thank you
74,chi,who
75,sta,is
76,molto,very
77,piÃ¹,more
78,voglio,I want
79,perchÃ©,Because
80,tuo,your
81,beh,well
82,sia,be
83,nel,In the
84,lui,he
85,allora,so
86,posso,I can
87,piu,more
88,ehi,Hey
89,prima,first
90,tua,your
91,suo,his
92,niente,nothing
93,qualcosa,something
94,sai,you know
95,siamo,are
96,un',a
97,cosi,as
98,davvero,really
99,ancora,still
100,hanno,they have
101,stai,you are
102,fa,does
103,sua,her
104,cosÃ¬,so
105,casa,home
106,uno,one
107,dove,where is it
108,su,on
109,vero,real
110,vuoi,do you want
111,noi,we
112,due,two
113,quindi,so
114,dire,to say
115,d',d '
116,delle,from the
117,quella,that
118,sempre,always
119,altro,other
120,sto,I'm
121,andare,to go
122,ad,to
123,po,bit
124,loro,they
125,devo,I must
126,quel,that
127,forse,maybe
128,li,there
129,proprio,own
130,certo,certain
131,tempo,weather
132,nella,in the
133,poi,then
134,vi,you
135,credo,I believe
136,vita,life
137,cose,what's this
138,sul,on the
139,quanto,how much
140,puoi,can
141,fuori,out
142,anni,years
143,cui,which
144,andiamo,here we go
145,dell',dell
146,parte,part
147,visto,view
148,qualcuno,someone
149,all',all
150,lavoro,work
151,voi,you
152,ciao,Hello
153,dio,God
154,volta,time
155,dopo,after
156,adesso,now
157,stata,was
158,uomo,man
159,padre,father
160,devi,you have to
161,bisogno,need
162,gia,already
163,amico,friend
164,ed,and
165,posto,place
166,nessuno,nobody
167,via,Street
168,cos',COS
169,fai,you do
170,signore,man
171,meglio,better
172,cazzo,cock
173,dai,come on
174,dal,from
175,vuole,wants
176,sembra,it seems
177,giorno,day
178,ogni,every
179,modo,way
180,senza,without
181,vedere,to see
182,dobbiamo,we have to
183,signor,Mr
184,qualche,some
185,dispiace,sorry
186,penso,I think
187,ecco,Here you are
188,parlare,talk
189,tra,between
190,mamma,mom
191,giÃ,already
192,sarebbe,would be
193,dalla,from the
194,troppo,too
195,fosse,it were
196,possiamo,we can
197,ce,there is
198,nuovo,new
199,male,bad
200,madre,mother
201,avete,you have
202,tanto,much
203,favore,favor
204,successo,success
205,vai,Go
206,sulla,on the
207,giusto,right
208,sa,knows
209,miei,my
210,aspetta,Wait
211,avere,to have
212,altra,other
213,farlo,to do it
214,alle,at
215,facendo,doing
216,abbia,have
217,momento,moment
218,ero,was
219,aveva,had
220,ragazzi,lads
221,deve,needs to
222,persone,people
223,nostro,our
224,tipo,guy
225,prego,You are welcome
226,grande,great
227,puÃ²,can
228,senti,hear
229,appena,just
230,potrebbe,could be
231,soldi,money
232,dice,He says
233,sapere,know
234,tre,three
235,oggi,today
236,questi,these
237,piace,like it
238,idea,idea
239,siete,you are
240,ai,to the
241,avevo,I had
242,figlio,son
243,accordo,agreement
244,gente,people
245,sicuro,Safe
246,vieni,do you come
247,degli,of the
248,guarda,look
249,dentro,inside
250,trovato,found it
251,queste,these
252,caso,case
253,forza,force
254,dov',where
255,tutte,all
256,pensi,think
257,signora,Mrs
258,faccio,I do
259,nome,first name
260,avuto,had
261,problema,problem
262,altri,others
263,puo,can he
264,aver,have
265,mondo,world
266,tutta,all
267,preso,taken
268,nulla,nothing
269,nostra,our
270,donna,woman
271,stare,to stay
272,basta,enough
273,insieme,together
274,faccia,face
275,ragazza,lass
276,subito,immediately
277,famiglia,family
278,ragazzo,boy
279,volevo,I wanted
280,okay,okay
281,sentito,heard
282,ah,ah
283,stesso,same
284,ragione,reason
285,sarÃ,will be
286,tuoi,your
287,capito,understood
288,notte,night
289,volte,times
290,testa,head
291,serve,serve
292,tesoro,treasure
293,sotto,under
294,eh,eh
295,suoi,its
296,vado,I'm going
297,sara,will be
298,dato,given
299,stiamo,we are
300,bella,beautiful
301,scusa,excuse me
302,erano,they were
303,pensavo,I thought
304,avrei,I would have
305,prendere,to take
306,buona,good
307,porta,brings
308,bello,Handsome
309,moglie,wife
310,vorrei,I would like
311,storia,history
312,succede,happens
313,morto,died
314,cercando,looking for
315,dici,you say
316,persona,person
317,pronto,ready
318,meno,less
319,dovuto,due
320,avanti,forward
321,capisco,I understand
322,secondo,second
323,venire,come
324,polizia,police
325,lÃ¬,there
326,avrebbe,it would have
327,stanno,they are
328,mentre,while
329,letto,read
330,fino,until
331,dico,I say
332,amici,friends
333,fine,end
334,aiuto,Help
335,paura,fear
336,fratello,brother
337,stavo,I was
338,uomini,men
339,nell',in the'
340,domani,tomorrow
341,facciamo,we do
342,abbastanza,enough
343,capo,boss
344,amore,love
345,nei,in the
346,ucciso,killed
347,state,state
348,piano,plan
349,macchina,car
350,trovare,to find
351,comunque,anyway
352,vediamo,we see
353,giorni,days
354,nemmeno,neither
355,mano,but no
356,dall',by
357,presto,soon
358,stati,States
359,merda,shit
360,far,make
361,bambino,child
362,andato,left
363,vedo,I see
364,tornare,return
365,quelle,those
366,cio,that is
367,primo,first
368,vostro,your
369,neanche,not even
370,sera,evening
371,giro,round
372,morte,death
373,e',And'
374,qua,here
375,pensato,thought
376,buon,good
377,anno,year
378,mie,my
379,diavolo,Devil
380,quasi,almost
381,piacere,pleasure
382,bel,nice
383,dovrei,I should
384,nessun,no
385,contro,versus
386,stessa,itself
387,felice,happy
388,colpa,guilt
389,punto,point
390,andata,round
391,dovrebbe,should
392,vedi,you see
393,quale,which
394,chiesto,asked
395,invece,instead
396,perchÃ¨,because
397,migliore,improve
398,nostri,our
399,finito,finished
400,figlia,daughter
401,dovresti,you should
402,papa,Dad
403,almeno,at least
404,sento,I feel
405,quei,those
406,col,with the
407,ore,hours
408,passato,past
409,magari,let's hope
410,minuti,minutes
411,terra,Earth
412,vostra,yours
413,strada,Street
414,sola,alone
415,credi,believe
416,importante,important
417,sue,his
418,salve,Hello
419,settimana,week
420,perso,lost
421,uscire,go out
422,parlato,spoken
423,papÃ,Dad
424,stasera,this evening
425,scusi,excuse me
426,dollari,dollars
427,occhi,eyes
428,mani,hands
429,ultima,ultimate
430,possibile,possible
431,scuola,school
432,significa,it means
433,sapevo,knew
434,nelle,in
435,potrei,I could
436,stava,stood
437,bambini,children
438,eri,you was
439,importa,it matters
440,indietro,backards
441,riesco,I can
442,sangue,blood
